id,question,choices,answerKey
lecture5_9,"According to the lecture slide, what is the primary advantage or purpose of TPUs (Tensor Processing Units) compared to CPUs and GPUs?","{""text"": [""They are Google’s custom-made powerful processors built specifically to train and learn machine learning models faster."", ""They serve as the brain of any computer system, responsible for managing logical, arithmetic, and I/O operations."", ""They are additional processors capable of performing advanced graphics rendering and complex mathematical operations."", ""They are primarily chosen for cloud-based deployments due to their inherent security features for sensitive data.""], ""label"": [""A"", ""B"", ""C"", ""D""]}",A
lecture5_10,"According to the ""Continuous Monitoring and Optimization"" strategy for optimal LLM deployment, which of the following best describes its core components?","{""text"": [""Continuously experimenting to balance cost and performance, staying updated on new LLM models and optimization techniques, and prioritizing ethical considerations like data privacy."", ""Primarily focusing on achieving the lowest possible operational cost, even if it compromises performance or ethical standards."", ""Implementing a \""deploy once, optimize never\"" strategy to minimize ongoing management efforts after initial setup."", ""Exclusively adopting the most expensive, state-of-the-art LLM models to ensure maximum performance, irrespective of cost-effectiveness or ethical implications.""], ""label"": [""A"", ""B"", ""C"", ""D""]}",A
lecture5_11,"According to the provided information, what is Medusa's primary mechanism for accelerating Large Language Model (LLM) inference?","{""text"": [""It adds extra decoding heads to predict multiple subsequent tokens in parallel."", ""It utilizes a separate draft model to generate candidate tokens for verification by the main LLM."", ""It quantizes the model weights to a lower precision, reducing computational requirements."", ""It prunes redundant layers and connections within the LLM architecture to create a smaller model.""], ""label"": [""A"", ""B"", ""C"", ""D""]}",A
lecture5_13,What mechanism does the Lookahead framework use to guarantee correct output without approximation?,"{""text"": [""Trie-based retrieval and verification."", ""A probabilistic sampling method."", ""Early exit conditions based on confidence scores."", ""Batch processing of individual token predictions.""], ""label"": [""A"", ""B"", ""C"", ""D""]}",A
lecture5_14,"According to the 'Three Pillars of Observability' for LLM monitoring, which component is primarily used to track execution paths through various system components, aiding in identifying the causes of performance issues and understanding interactions?","{""text"": [""Traces"", ""Logs"", ""Metrics"", ""Alerts""], ""label"": [""A"", ""B"", ""C"", ""D""]}",A
lecture5_15,"According to the provided content, which of the following is a benefit of LLM Observability?","{""text"": [""Faster Issue Diagnosis"", ""Automated model version control"", ""Reduced need for data preprocessing"", ""Enhanced model training speed""], ""label"": [""A"", ""B"", ""C"", ""D""]}",A
lecture5_16,What is the primary purpose of 'Chunking/Text Splitters' in natural language processing (NLP) applications?,"{""text"": [""To break down large documents into smaller, manageable pieces for processing by models with limited input context windows."", ""To identify and correct grammatical errors and typos within a text."", ""To convert text into different character encodings or binary formats."", ""To extract the main topics or sentiment of a document.""], ""label"": [""A"", ""B"", ""C"", ""D""]}",A
lecture5_17,"According to the provided slide, what are the main reasons for performing 'chunking' when preparing text for Large Language Models (LLMs)?","{""text"": [""To reduce token usage and provide the LLM with accurate and manageable input prompts."", ""To combine multiple small documents into a single, larger input for the LLM to process."", ""To enhance the LLM's creativity and ability to generate diverse output."", ""To convert the text into a different language for multilingual LLMs.""], ""label"": [""A"", ""B"", ""C"", ""D""]}",A
lecture5_18,"According to the 'Chunking theories/Methods' slide, what are the primary considerations discussed when determining how to split content and the characteristics of the resulting chunks?","{""text"": [""How to split the content (e.g., by characters) and whether the chunk size should be fixed or dynamic."", ""The specific programming language used for chunking and the availability of pre-trained chunking models."", ""The licensing of the content and the target audience's reading comprehension level."", ""Only the fixed number of characters per chunk, without considering dynamic sizing or other splitting methods.""], ""label"": [""A"", ""B"", ""C"", ""D""]}",A
lecture5_19,"According to the lecture slide, which of the following is NOT presented as a method for chunking content?","{""text"": [""By paragraph or by sentence for a book."", ""By code/tag or by context for a web page."", ""By message or by time for a conversion/chat."", ""By author or by publication date for a document.""], ""label"": [""A"", ""B"", ""C"", ""D""]}",D
lecture5_20,"Based on the lecture slide, which of the following is *not* listed as a 'must-have' component for your project?","{""text"": [""Retrieval Augmented Generation (RAG)"", ""Chunking"", ""Memory"", ""A vector database (as part of RAG)""], ""label"": [""A"", ""B"", ""C"", ""D""]}",C
lecture5_21,"According to the exercise, what are the required inputs for the `/answer` endpoint?","{""text"": [""A string representing a question and an array of context chunks."", ""A string of text."", ""An array of strings, where each string represents a context chunk."", ""A string representing a question.""], ""label"": [""A"", ""B"", ""C"", ""D""]}",A
lecture5_22,"Based on the provided exercise, what is the complete functionality of the API endpoint to be created?","{""text"": [""It performs semantic text chunking based on contextual similarity, analyzes the resulting chunks, groups them where necessary, and suggests a similarity threshold for each group based on gaps between adjacent chunks."", ""It splits text into fixed-size chunks, identifies duplicate chunks for removal, and provides a single global similarity score for the entire document."", ""It generates new text summaries by combining semantically similar chunks and determines an optimal length for the generated summaries."", ""It visualizes the similarity relationships between all words in a document, allowing users to manually define chunk boundaries and set their own similarity thresholds.""], ""label"": [""A"", ""B"", ""C"", ""D""]}",A
lecture5_23,What is the primary purpose of the content presented on this slide?,"{""text"": [""To provide external links and references for additional study."", ""To summarize the main concepts covered in the lecture."", ""To introduce new topics that will be discussed next."", ""To list the authors and contributors to the lecture material.""], ""label"": [""A"", ""B"", ""C"", ""D""]}",A
